n,payoff,payoff_se,wrong,avoidable,missed,acted,steps,gamma,k
100000,4.75376,0.06321257364574447,0.02627,0.00217,0.01833,0.48501,3.58808,1.0,0
100000,4.716105,0.06339351779693833,0.02637,0.00213,0.01512,0.48818,3.76619,1.0,1
100000,4.571845,0.06353904571256204,0.02641,0.00195,0.01118,0.49194,4.19551,1.0,2
100000,4.343395,0.06344578652217989,0.02621,0.00154,0.00803,0.49468,4.81001,1.0,3
100000,4.03323,0.06333027763172722,0.02601,0.0012,0.00584,0.49653,5.55234,1.0,4
100000,3.674035,0.06316268430358732,0.02578,0.00083,0.00407,0.49793,6.38193,1.0,5
100000,3.7506,0.07267271227655601,0.03796,0.01628,0.04592,0.47153,2.2496,2.0,0
100000,3.916115,0.07172958845139392,0.03643,0.01383,0.03244,0.48256,2.72697,2.0,1
100000,4.017585,0.06973062782079559,0.0337,0.01034,0.02211,0.4894,3.45283,2.0,2
100000,3.95208,0.06794857067531712,0.0314,0.00744,0.01528,0.49333,4.29304,2.0,3
100000,3.779115,0.06644075569187874,0.02954,0.00521,0.01038,0.496,5.19217,2.0,4
100000,3.486675,0.06548093636299056,0.02838,0.00374,0.00707,0.49784,6.12905,2.0,5
100000,1.044425,0.08933146892504988,0.06377,0.04465,0.07253,0.47329,1.53795,4.0,0
100000,2.247775,0.08301856491963085,0.05271,0.03172,0.04702,0.48587,2.28885,4.0,1
100000,3.008305,0.07709873946716654,0.0436,0.02142,0.03127,0.49132,3.17219,4.0,2
100000,3.281415,0.0731232941759277,0.03801,0.01486,0.02114,0.49489,4.11037,4.0,3
100000,3.293275,0.07034568116019865,0.03433,0.01047,0.01421,0.49743,5.07145,4.0,4
100000,3.164705,0.06814864738210986,0.03156,0.00722,0.00958,0.49881,6.04859,4.0,5
100000,-0.57221,0.09751181104200621,0.07909,0.06133,0.08335,0.47915,1.32882,6.0,0
100000,1.342825,0.08824216850234796,0.0613,0.04097,0.05286,0.48928,2.17355,6.0,1
100000,2.481475,0.08052107941207723,0.04863,0.02688,0.03466,0.49339,3.10145,6.0,2
100000,2.910515,0.0757513150510608,0.04159,0.01867,0.02315,0.49669,4.06497,6.0,3
100000,3.081585,0.07192613292513177,0.03637,0.0128,0.01562,0.49835,5.04203,6.0,4
100000,3.01127,0.06932667914847368,0.03302,0.0088,0.01057,0.4994,6.02866,6.0,5
