n,payoff,payoff_se,wrong,avoidable,missed,acted,steps,person,device,verdict
100000,3.39341,0.060736055802165345,0.02539,0.00831,0.14143,0.3653,1.73158,anxious,none,all
100000,3.39341,0.060736055802165345,0.02539,0.00831,0.14143,0.3653,1.73158,anxious,verdict theta=0.0,all
24941,3.2182550819935045,0.12450310420635805,0.027023776111623432,0.007978830038891785,0.14141373641794636,0.36634457319273483,1.7315664969327613,anxious,verdict theta=0.0,go
75059,3.451611399032761,0.0695416931892664,0.024847120265391227,0.008420042899585659,0.14143540414873632,0.3649529037157436,1.7315844868703287,anxious,verdict theta=0.0,wait
100000,4.25333,0.06243512409339959,0.02618,0.00523,0.07221,0.43144,2.46774,anxious,verdict theta=0.7,all
24941,3.2182550819935045,0.12450310420635805,0.027023776111623432,0.007978830038891785,0.14141373641794636,0.36634457319273483,1.7315664969327613,anxious,verdict theta=0.7,go
75059,4.59727014748398,0.07212053921128571,0.025899625627839432,0.004316604271306572,0.04921461783397061,0.45307025140223023,2.7123596104397873,anxious,verdict theta=0.7,wait
100000,3.72419,0.05352358999717659,0.01838,0.00048,0.13802,0.36088,2.57562,fearful,none,all
100000,3.72419,0.05352358999717659,0.01838,0.00048,0.13802,0.36088,2.57562,fearful,verdict theta=0.0,all
24941,3.5390521631049277,0.1107472602882264,0.020127500902129024,0.0004009462331101399,0.13804578805982118,0.36213463774507837,2.5766809670823143,fearful,verdict theta=0.0,go
75059,3.785708575920276,0.06107834024899592,0.017799331192795,0.000506268402190277,0.13801143100760735,0.3604631023594772,2.5752674562677362,fearful,verdict theta=0.0,wait
100000,3.972165,0.05561915822839617,0.01994,0.00066,0.11025,0.38883,2.82327,fearful,verdict theta=0.7,all
24941,4.533298584659797,0.12620169664414863,0.02638226213864721,0.001122649452708392,0.02670301912513532,0.4741991098993625,3.5696243133795758,fearful,verdict theta=0.7,go
75059,3.785708575920276,0.06107834024899592,0.017799331192795,0.000506268402190277,0.13801143100760735,0.3604631023594772,2.5752674562677362,fearful,verdict theta=0.7,wait
100000,4.749125,0.0628907949931045,0.02596,0.00207,0.01772,0.48277,3.58215,calibrated,none,all
100000,4.749125,0.0628907949931045,0.02596,0.00207,0.01772,0.48277,3.58215,calibrated,verdict theta=0.0,all
24941,4.562407281183593,0.12900976499732295,0.02770538470791067,0.0020448257888617135,0.018283148229822382,0.48354115713082874,3.567539392967403,calibrated,verdict theta=0.0,go
75059,4.8111685474093715,0.07199102025272558,0.025380034372959936,0.0020783650195179792,0.017532874139010644,0.4825137558454016,3.587004889486937,calibrated,verdict theta=0.0,wait
100000,4.749125,0.0628907949931045,0.02596,0.00207,0.01772,0.48277,3.58215,calibrated,verdict theta=0.7,all
24941,4.562407281183593,0.12900976499732295,0.02770538470791067,0.0020448257888617135,0.018283148229822382,0.48354115713082874,3.567539392967403,calibrated,verdict theta=0.7,go
75059,4.8111685474093715,0.07199102025272558,0.025380034372959936,0.0020783650195179792,0.017532874139010644,0.4825137558454016,3.587004889486937,calibrated,verdict theta=0.7,wait
