agent_gamma,person,own_payoff,payoff,avoidable,missed
1.0,calibrated,4.7903,4.790633333333333,0.002416666666666667,0.018516666666666667
1.0,overconfident,1.060675,4.790633333333333,0.002416666666666667,0.018516666666666667
1.0,anxious,3.737875,4.790633333333333,0.002416666666666667,0.018516666666666667
1.0,fearful,3.739508333333333,4.7893,0.002416666666666667,0.018583333333333334
2.0,calibrated,4.7903,3.672241666666667,0.017233333333333333,0.045566666666666665
2.0,overconfident,1.060675,3.672241666666667,0.017233333333333333,0.045566666666666665
2.0,anxious,3.737875,3.672241666666667,0.017233333333333333,0.045566666666666665
2.0,fearful,3.739508333333333,0.4132416666666667,0.0008833333333333333,0.38606666666666667
4.0,calibrated,4.7903,1.567675,0.020466666666666668,0.19371666666666668
4.0,overconfident,1.060675,1.060675,0.04476666666666667,0.07296666666666667
4.0,anxious,3.737875,1.567675,0.020466666666666668,0.19371666666666668
4.0,fearful,3.739508333333333,-0.368325,0.00035,0.4687
6.0,calibrated,4.7903,1.1630166666666666,0.016783333333333334,0.2548666666666667
6.0,overconfident,1.060675,-0.5013166666666666,0.06066666666666667,0.08366666666666667
6.0,anxious,3.737875,1.1630166666666666,0.016783333333333334,0.2548666666666667
6.0,fearful,3.739508333333333,-0.38731666666666664,0.0002666666666666667,0.47896666666666665
