agent_gamma,person,own_payoff,own_avoidable,own_missed,forced_payoff,forced_avoidable,forced_missed,theta,continue_payoff,continue_avoidable,continue_missed,continue_checks,required1_payoff,required1_avoidable,required1_missed,required1_checks,required2_payoff,required2_avoidable,required2_missed,required2_checks,required3_payoff,required3_avoidable,required3_missed,required3_checks
1.0,calibrated,4.7903,0.002416666666666667,0.018533333333333332,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.7903,0.002416666666666667,0.018533333333333332,0.0,4.659041666666667,0.0008833333333333333,0.018666666666666668,0.56385,4.445308333333333,0.00065,0.018816666666666666,1.0319833333333333,4.231475,0.0004,0.018983333333333335,1.5029833333333333
1.0,calibrated,4.7903,0.002416666666666667,0.018533333333333332,4.790633333333333,0.002416666666666667,0.018516666666666667,0.7,4.7903,0.002416666666666667,0.018533333333333332,0.0,4.659041666666667,0.0008833333333333333,0.018666666666666668,0.56385,4.445308333333333,0.00065,0.018816666666666666,1.0319833333333333,4.231475,0.0004,0.018983333333333335,1.5029833333333333
1.0,overconfident,1.060675,0.04476666666666667,0.07296666666666667,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.562283333333333,0.00225,0.018583333333333334,0.48736666666666667,4.362191666666667,0.00175,0.0189,0.9748833333333333,4.185033333333333,0.0010666666666666667,0.019116666666666667,1.4612
1.0,overconfident,1.060675,0.04476666666666667,0.07296666666666667,4.790633333333333,0.002416666666666667,0.018516666666666667,0.7,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.562283333333333,0.00225,0.018583333333333334,0.48736666666666667,4.362191666666667,0.00175,0.0189,0.9748833333333333,4.185033333333333,0.0010666666666666667,0.019116666666666667,1.4612
1.0,anxious,3.737875,0.0079,0.1089,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.7903,0.002416666666666667,0.018533333333333332,0.0,4.611125,0.0016666666666666668,0.018866666666666667,0.49901666666666666,4.415541666666667,0.0011333333333333334,0.019116666666666667,0.98685,4.21325,0.0007,0.019316666666666666,1.4701
1.0,anxious,3.737875,0.0079,0.1089,4.790633333333333,0.002416666666666667,0.018516666666666667,0.7,4.7903,0.002416666666666667,0.018533333333333332,0.0,4.645366666666667,0.0012166666666666667,0.0187,0.5232,4.440808333333333,0.0008166666666666667,0.018866666666666667,1.00565,4.228316666666666,0.0005166666666666667,0.019033333333333333,1.4839666666666667
1.0,fearful,3.739508333333333,0.0004,0.13978333333333334,4.7893,0.002416666666666667,0.018583333333333334,0.0,4.744608333333334,0.00065,0.019166666666666665,0.42738333333333334,4.627775,0.00045,0.01925,0.6977166666666667,4.442583333333333,0.0003,0.01945,1.1061,4.2318,0.00016666666666666666,0.0197,1.5443333333333333
1.0,fearful,3.739508333333333,0.0004,0.13978333333333334,4.7893,0.002416666666666667,0.018583333333333334,0.7,4.78925,0.0015,0.01863333333333333,0.18143333333333334,4.651583333333333,0.0007166666666666667,0.01875,0.6087666666666667,4.447558333333333,0.00048333333333333334,0.018883333333333332,1.05815,4.237125,0.00025,0.019066666666666666,1.51835
1.0,overconfident and fearful,1.7529083333333333,0.033183333333333336,0.09945,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.56415,0.0022166666666666667,0.01865,0.4876333333333333,4.368933333333334,0.0016666666666666668,0.018966666666666666,0.9754,4.187716666666667,0.0010166666666666666,0.019233333333333335,1.4611666666666667
1.0,overconfident and fearful,1.7529083333333333,0.033183333333333336,0.09945,4.790633333333333,0.002416666666666667,0.018516666666666667,0.7,4.790633333333333,0.002416666666666667,0.018516666666666667,0.0,4.563883333333333,0.0022333333333333333,0.018583333333333334,0.4875,4.367016666666666,0.0017,0.0189,0.9752333333333333,4.188183333333333,0.0010333333333333334,0.019116666666666667,1.4615666666666667
4.0,calibrated,4.7903,0.002416666666666667,0.018533333333333332,1.567675,0.020466666666666668,0.19371666666666668,0.0,4.7903,0.002416666666666667,0.018533333333333332,2.0440833333333335,4.792341666666666,0.00225,0.018533333333333332,2.0733333333333333,4.748141666666666,0.0017833333333333334,0.01855,2.2544,4.643141666666667,0.0013666666666666666,0.0186,2.545733333333333
4.0,calibrated,4.7903,0.002416666666666667,0.018533333333333332,1.567675,0.020466666666666668,0.19371666666666668,0.7,4.7903,0.002416666666666667,0.018533333333333332,2.0440833333333335,4.792341666666666,0.00225,0.018533333333333332,2.0733333333333333,4.748141666666666,0.0017833333333333334,0.01855,2.2544,4.643141666666667,0.0013666666666666666,0.0186,2.545733333333333
4.0,overconfident,1.060675,0.04476666666666667,0.07296666666666667,1.060675,0.04476666666666667,0.07296666666666667,0.0,1.060675,0.04476666666666667,0.07296666666666667,0.0,3.069875,0.01948333333333333,0.07743333333333334,0.5516,3.5883666666666665,0.011466666666666667,0.07883333333333334,0.98995,3.770608333333333,0.007166666666666667,0.07985,1.4208
4.0,overconfident,1.060675,0.04476666666666667,0.07296666666666667,1.060675,0.04476666666666667,0.07296666666666667,0.7,1.060675,0.04476666666666667,0.07296666666666667,0.0,3.069875,0.01948333333333333,0.07743333333333334,0.5516,3.5883666666666665,0.011466666666666667,0.07883333333333334,0.98995,3.770608333333333,0.007166666666666667,0.07985,1.4208
4.0,anxious,3.737875,0.0079,0.1089,1.567675,0.020466666666666668,0.19371666666666668,0.0,3.9980416666666665,0.008366666666666666,0.08308333333333333,0.6326,4.109258333333333,0.0062833333333333335,0.08366666666666667,0.7875,4.16235,0.004,0.08428333333333334,1.1093166666666667,4.094875,0.002683333333333333,0.08463333333333334,1.4776
4.0,anxious,3.737875,0.0079,0.1089,1.567675,0.020466666666666668,0.19371666666666668,0.7,4.6357083333333335,0.0043,0.04101666666666667,1.3492666666666666,4.64975,0.0038,0.04106666666666667,1.4191833333333332,4.6127666666666665,0.0029,0.041183333333333336,1.6684833333333333,4.512458333333333,0.0021,0.04181666666666667,1.9957666666666667
4.0,fearful,3.739508333333333,0.0004,0.13978333333333334,-0.368325,0.00035,0.4687,0.0,4.245716666666667,0.0005166666666666667,0.08976666666666666,1.4599166666666668,4.243108333333334,0.0005166666666666667,0.08976666666666666,1.4651333333333334,4.201608333333334,0.00048333333333333334,0.0898,1.5534666666666668,4.11175,0.0004,0.08985,1.75585
4.0,fearful,3.739508333333333,0.0004,0.13978333333333334,-0.368325,0.00035,0.4687,0.7,4.769683333333333,0.0014666666666666667,0.02625,2.04665,4.767816666666667,0.0014166666666666668,0.02625,2.0603833333333332,4.719858333333334,0.0012,0.026283333333333332,2.1983,4.61785,0.0009333333333333333,0.0263,2.4549833333333333
