agent_gamma,person,arrangement,payoff,avoidable,missed,checks_after
1.0,calibrated,own judgement,4.698345,0.00237,0.01795,0.0
1.0,calibrated,decide at hand-off,4.698545,0.00237,0.01794,0.0
1.0,calibrated,A: may continue,4.698345,0.00237,0.01795,0.0
1.0,calibrated,B: may continue + relief,4.698345,0.00237,0.01795,0.0
1.0,calibrated,C: required checks,4.342215,0.0007,0.01818,1.03466
1.0,calibrated,D: required checks + relief,4.342215,0.0007,0.01818,1.03466
1.0,overconfident,own judgement,0.93015,0.04501,0.07254,0.0
1.0,overconfident,decide at hand-off,4.697545,0.00238,0.01794,0.0
1.0,overconfident,A: may continue,4.697545,0.00238,0.01794,0.0
1.0,overconfident,B: may continue + relief,4.697545,0.00238,0.01794,0.0
1.0,overconfident,C: required checks,4.262795,0.00179,0.01824,0.9755
1.0,overconfident,D: required checks + relief,4.262795,0.00179,0.01824,0.9755
1.0,anxious,own judgement,3.731815,0.00766,0.10798,0.0
1.0,anxious,decide at hand-off,4.698545,0.00237,0.01794,0.0
1.0,anxious,A: may continue,4.698345,0.00237,0.01795,0.0
1.0,anxious,B: may continue + relief,4.698345,0.00237,0.01795,0.0
1.0,anxious,C: required checks,4.319255,0.00115,0.01844,0.98738
1.0,anxious,D: required checks + relief,4.33938,0.00086,0.01822,1.00673
1.0,fearful,own judgement,3.689045,0.00052,0.1388,0.0
1.0,fearful,decide at hand-off,4.697145,0.00237,0.01801,0.0
1.0,fearful,A: may continue,4.63504,0.00077,0.01855,0.42741
1.0,fearful,B: may continue + relief,4.69201,0.0015,0.01802,0.18147
1.0,fearful,C: required checks,4.329355,0.00041,0.01883,1.10918
1.0,fearful,D: required checks + relief,4.341835,0.00056,0.01823,1.06142
1.0,overconfident and fearful,own judgement,1.705915,0.03304,0.09868,0.0
1.0,overconfident and fearful,decide at hand-off,4.698545,0.00237,0.01794,0.0
1.0,overconfident and fearful,A: may continue,4.698545,0.00237,0.01794,0.0
1.0,overconfident and fearful,B: may continue + relief,4.697545,0.00238,0.01794,0.0
1.0,overconfident and fearful,C: required checks,4.2716,0.0017,0.0183,0.97589
1.0,overconfident and fearful,D: required checks + relief,4.26766,0.00174,0.01824,0.97577
1.0,follower (agent's own policy),own judgement,4.698345,0.00237,0.01795,0.0
1.0,follower (agent's own policy),decide at hand-off,4.698545,0.00237,0.01794,0.0
1.0,follower (agent's own policy),A: may continue,4.698545,0.00237,0.01794,0.0
1.0,follower (agent's own policy),B: may continue + relief,4.698545,0.00237,0.01794,0.0
1.0,follower (agent's own policy),C: required checks,4.342215,0.0007,0.01818,1.03466
1.0,follower (agent's own policy),D: required checks + relief,4.342215,0.0007,0.01818,1.03466
1.0,equal mix of the four,own judgement,3.26233875,0.01389,0.08431749999999999,0.0
1.0,equal mix of the four,decide at hand-off,4.697945,0.0023725,0.0179575,0.0
1.0,equal mix of the four,A: may continue,4.68231875,0.0019725,0.0180975,0.1068525
1.0,equal mix of the four,B: may continue + relief,4.69656125,0.002155,0.017965,0.0453675
1.0,equal mix of the four,C: required checks,4.313405,0.0010125,0.0184225,1.02668
1.0,equal mix of the four,D: required checks + relief,4.32155625,0.0009775,0.0182175,1.0195775
1.5,calibrated,own judgement,4.698345,0.00237,0.01795,0.0
1.5,calibrated,decide at hand-off,4.351795,0.00858,0.03186,0.0
1.5,calibrated,A: may continue,4.698345,0.00237,0.01795,0.8533
1.5,calibrated,B: may continue + relief,4.698345,0.00237,0.01795,0.8533
1.5,calibrated,C: required checks,4.51906,0.00116,0.01802,1.44867
1.5,calibrated,D: required checks + relief,4.51906,0.00116,0.01802,1.44867
1.5,overconfident,own judgement,0.93015,0.04501,0.07254,0.0
1.5,overconfident,decide at hand-off,4.350795,0.00859,0.03186,0.0
1.5,overconfident,A: may continue,4.350795,0.00859,0.03186,0.0
1.5,overconfident,B: may continue + relief,4.350795,0.00859,0.03186,0.0
1.5,overconfident,C: required checks,4.228595,0.00473,0.03255,0.9672
1.5,overconfident,D: required checks + relief,4.228595,0.00473,0.03255,0.9672
1.5,anxious,own judgement,3.731815,0.00766,0.10798,0.0
1.5,anxious,decide at hand-off,4.351795,0.00858,0.03186,0.0
1.5,anxious,A: may continue,4.351795,0.00858,0.03186,0.0
1.5,anxious,B: may continue + relief,4.612145,0.00426,0.03219,0.2797
1.5,anxious,C: required checks,4.41082,0.0024,0.03358,1.01075
1.5,anxious,D: required checks + relief,4.471195,0.00159,0.03247,1.07
