step_cost,person,device,pay_mean,pay_halfwidth95,pay_diff_vs_own,pay_diff_halfwidth95,avoidable_mean,avoidable_halfwidth95,avoidable_diff_vs_own,avoidable_diff_halfwidth95,missed_mean,missed_halfwidth95,missed_diff_vs_own,missed_diff_halfwidth95
-1.0,population (equal mix),own,2.71117,0.12165412804273694,0.0,0.0,0.008925,0.00042915238695329685,0.0,0.0,0.076755,0.001472177047373103,0.0,0.0
-1.0,calibrated,own,3.11878,0.1255711833997252,0.0,0.0,0.00435,0.00040790236219390884,0.0,0.0,0.04291,0.0012560701341056625,0.0,0.0
-1.0,overconfident,own,2.10624,0.14947520142981435,0.0,0.0,0.02177,0.0009044986981154526,0.0,0.0,0.06339,0.001510247111948833,0.0,0.0
-1.0,anxious,own,2.73403,0.12370012539023151,0.0,0.0,0.00766,0.0005403844911767759,0.0,0.0,0.10798,0.0019236107715797405,0.0,0.0
-1.0,fearful,own,2.88563,0.11497367526304066,0.0,0.0,0.00192,0.0002713260758496948,0.0,0.0,0.09274,0.0017978674534325939,0.0,0.0
-1.0,population (equal mix),procedure,2.369205,0.12687381529836253,-0.341965,0.04294097097362682,0.0057925,0.000378074761385036,-0.0031325,0.00027393284073128635,0.0285425,0.0009538765961363696,-0.0482125,0.0011120992637913333
-1.0,calibrated,procedure,2.52422,0.12747518804570313,-0.59456,0.03368407766988948,0.00369,0.00037581029288214326,-0.00066,0.00021287226013830772,0.02165,0.0009020576996627959,-0.02126,0.0008996426278956433
-1.0,overconfident,procedure,2.02231,0.14104536562043296,-0.08393,0.074898497904683,0.01274,0.0006951183087309896,-0.00903,0.0006831543542892175,0.02856,0.0010323936755663574,-0.03483,0.0011883038672151195
-1.0,anxious,procedure,2.4799,0.12804668809295755,-0.25413,0.0661584658734481,0.00448,0.000413925559560277,-0.00318,0.00044565501021023114,0.02876,0.0010358955414297944,-0.07922,0.0016870230481452377
-1.0,fearful,procedure,2.45039,0.12328308935998537,-0.43524,0.046898814588798896,0.00226,0.0002943209348424384,0.00034,0.000199871455181539,0.0352,0.0011422159541579077,-0.05754,0.0014454876060619102
-1.0,population (equal mix),interval only,2.3328825,0.126454162417896,-0.3782875,0.04155674081927206,0.00608,0.00038398355851693963,-0.002845,0.0002668174504246649,0.0332925,0.0010208948528884385,-0.0434625,0.0010741745345551658
-1.0,calibrated,interval only,2.52422,0.12747518804570313,-0.59456,0.03368407766988948,0.00369,0.00037581029288214326,-0.00066,0.00021287226013830772,0.02165,0.0009020576996627959,-0.02126,0.0008996426278956433
-1.0,overconfident,interval only,2.02231,0.14104536562043296,-0.08393,0.074898497904683,0.01274,0.0006951183087309896,-0.00903,0.0006831543542892175,0.02856,0.0010323936755663574,-0.03483,0.0011883038672151195
-1.0,anxious,interval only,2.36775,0.12890438190796985,-0.36628,0.05987732065017695,0.00595,0.0004766733155259452,-0.00171,0.00039818002617877815,0.04365,0.0012663647056182813,-0.06433,0.0015397202655166161
-1.0,fearful,interval only,2.41725,0.12221129837610556,-0.46838,0.044363071625475724,0.00194,0.00027273283882659545,2e-05,0.0001663123003010069,0.03931,0.0012044850107758966,-0.05343,0.0013966391579828255
-1.0,population (equal mix),relief only,2.7942075,0.1233806261531886,0.0830375,0.013680742601904288,0.0085375,0.0004243652561605466,-0.0003875,9.384023474713058e-05,0.0629075,0.0013508367271368269,-0.0138475,0.0003563970357569925
-1.0,calibrated,relief only,3.11878,0.1255711833997252,0.0,0.0,0.00435,0.00040790236219390884,0.0,0.0,0.04291,0.0012560701341056625,0.0,0.0
-1.0,overconfident,relief only,2.10624,0.14947520142981435,0.0,0.0,0.02177,0.0009044986981154526,0.0,0.0,0.06339,0.001510247111948833,0.0,0.0
-1.0,anxious,relief only,3.01461,0.12508157802952338,0.28058,0.04945297571236867,0.00552,0.00045922530199497927,-0.00214,0.0003437244994930031,0.06415,0.001518656997360087,-0.04383,0.0012776036552266895
-1.0,fearful,relief only,2.9372,0.11748906547388832,0.05157,0.023454603300430418,0.00251,0.0003101339987640373,0.00059,0.00015050679025658322,0.08118,0.0016927701271787126,-0.01156,0.0006625403242212597
-1.0,population (equal mix),agent-timed prompt,1.78984,0.12981256811730424,-0.92133,0.045208589369679135,0.01773,0.0007434006627916433,0.008805,0.00041340514320666635,0.11357,0.0015561645292198442,0.036815,0.0007940375817360359
-1.0,calibrated,agent-timed prompt,2.10624,0.14947520142981435,-1.01254,0.08282513085293342,0.02177,0.0009044986981154526,0.01742,0.0008212544815870628,0.06339,0.001510247111948833,0.02048,0.0009440773244674111
