step_cost,person,device,pay_mean,pay_halfwidth95,pay_diff_vs_own,pay_diff_halfwidth95,avoidable_mean,avoidable_halfwidth95,avoidable_diff_vs_own,avoidable_diff_halfwidth95,missed_mean,missed_halfwidth95,missed_diff_vs_own,missed_diff_halfwidth95
-1.0,population (equal mix),own,1.4142325,0.10661249217614273,0.0,0.0,0.01599,0.0004737315669177799,0.0,0.0,0.1591925,0.001622059075916644,0.0,0.0
-1.0,calibrated,own,3.11878,0.1255711833997252,0.0,0.0,0.00435,0.00040790236219390884,0.0,0.0,0.04291,0.0012560701341056625,0.0,0.0
-1.0,overconfident,own,-0.38526,0.18147816098624384,0.0,0.0,0.05069,0.0013596383829194154,0.0,0.0,0.0827,0.0017071303928820971,0.0,0.0
-1.0,anxious,own,2.43197,0.12100498772114594,0.0,0.0,0.00853,0.0005699969703700732,0.0,0.0,0.14277,0.002168330123581012,0.0,0.0
-1.0,fearful,own,0.49144,0.06668798093381888,0.0,0.0,0.00039,0.00012237870195367707,0.0,0.0,0.36839,0.0029897622766820622,0.0,0.0
-1.0,population (equal mix),procedure,1.9623625,0.12470254200864764,0.54813,0.054194493733280676,0.00888,0.00040708066340255596,-0.00711,0.00036685173616648353,0.047575,0.0010554588053746572,-0.1116175,0.001253941582400879
-1.0,calibrated,procedure,2.52422,0.12747518804570313,-0.59456,0.03368407766988948,0.00369,0.00037581029288214326,-0.00066,0.00021287226013830772,0.02165,0.0009020576996627959,-0.02126,0.0008996426278956433
-1.0,overconfident,procedure,1.03779,0.15622346630937192,1.42305,0.12330106798846807,0.02443,0.0009568617509785334,-0.02626,0.0011878761018114358,0.03428,0.0011277277371972774,-0.04842,0.0014861929060492583
-1.0,anxious,procedure,2.34766,0.1289021292249532,-0.08431,0.07472777940764126,0.00589,0.0004742781437974733,-0.00264,0.000501740703235977,0.04303,0.001257746384373763,-0.09974,0.001878052838953968
-1.0,fearful,procedure,1.93978,0.11541282228744666,1.44834,0.09579240883107995,0.00151,0.00024066812603639248,0.00112,0.00022164111129802197,0.09134,0.0017856216859901913,-0.27705,0.002776119144621687
-1.0,population (equal mix),interval only,1.80058,0.12094056442703618,0.3863475,0.05072858509310272,0.008915,0.00039967011432730725,-0.007075,0.0003607400233459609,0.0657325,0.0011657711457566371,-0.09346,0.0011432542169248468
-1.0,calibrated,interval only,2.52422,0.12747518804570313,-0.59456,0.03368407766988948,0.00369,0.00037581029288214326,-0.00066,0.00021287226013830772,0.02165,0.0009020576996627959,-0.02126,0.0008996426278956433
-1.0,overconfident,interval only,1.03779,0.15622346630937192,1.42305,0.12330106798846807,0.02443,0.0009568617509785334,-0.02626,0.0011878761018114358,0.03428,0.0011277277371972774,-0.04842,0.0014861929060492583
-1.0,anxious,interval only,2.25164,0.12886686249551826,-0.18033,0.07111194615340345,0.00671,0.0005060081764330948,-0.00182,0.0004823650459993717,0.05481,0.0014107423469656303,-0.08796,0.0017824566459500063
-1.0,fearful,interval only,1.38867,0.10627373863960737,0.89723,0.08438764967178576,0.00083,0.00017849127096006149,0.00044,0.00015677706609349635,0.15219,0.0022263865452775465,-0.2162,0.0025561230178942533
-1.0,population (equal mix),relief only,1.799985,0.11693413912987215,0.3857525,0.021041301445242515,0.0159575,0.0004833315492133371,-3.25e-05,9.12771205627532e-05,0.1124075,0.001485655480259525,-0.046785,0.0006051453293127989
-1.0,calibrated,relief only,3.11878,0.1255711833997252,0.0,0.0,0.00435,0.00040790236219390884,0.0,0.0,0.04291,0.0012560701341056625,0.0,0.0
-1.0,overconfident,relief only,-0.38526,0.18147816098624384,0.0,0.0,0.05069,0.0013596383829194154,0.0,0.0,0.0827,0.0017071303928820971,0.0,0.0
-1.0,anxious,relief only,2.69821,0.1234614066935766,0.26624,0.044912287551983926,0.0073,0.0005276290318812573,-0.00123,0.00030164334953833007,0.10701,0.001915992137817147,-0.03576,0.0011575881995868815
