agent_gamma,k,theta,person,arrangement,payoff,avoidable,missed,wrong,steps,checks_after
4.0,2,0.7,calibrated,own judgement,4.698345,0.00237,0.01795,0.02707,3.58411,0.0
4.0,2,0.7,overconfident,own judgement,0.93015,0.04501,0.07254,0.06499,1.5417,0.0
4.0,2,0.7,anxious,own judgement,3.731815,0.00766,0.10798,0.02762,1.99557,0.0
4.0,2,0.7,fearful,own judgement,3.689045,0.00052,0.1388,0.0192,2.58351,0.0
4.0,2,0.7,overconfident and fearful,own judgement,1.705915,0.03304,0.09868,0.05235,1.49937,0.0
4.0,2,0.7,population (equal mix),own judgement,3.26233875,0.01389,0.08431749999999999,0.03472,2.4262224999999997,0.0
4.0,2,0.7,calibrated,act or give up at once,1.60255,0.01976,0.19247,0.03519,1.5417,0.0
4.0,2,0.7,overconfident,act or give up at once,0.93015,0.04501,0.07254,0.06499,1.5417,0.0
4.0,2,0.7,anxious,act or give up at once,1.60255,0.01976,0.19247,0.03519,1.5417,0.0
4.0,2,0.7,fearful,act or give up at once,-0.35025,0.00034,0.46839,0.00224,1.5417,0.0
4.0,2,0.7,overconfident and fearful,act or give up at once,0.93015,0.04501,0.07254,0.06499,1.5417,0.0
4.0,2,0.7,population (equal mix),act or give up at once,0.94625,0.0212175,0.2314675,0.034402499999999996,1.5417,0.0
4.0,2,0.7,calibrated,A: may continue,4.698345,0.00237,0.01795,0.02707,3.58411,2.04241
4.0,2,0.7,overconfident,A: may continue,0.93015,0.04501,0.07254,0.06499,1.5417,0.0
4.0,2,0.7,anxious,A: may continue,3.948345,0.00814,0.08246,0.02941,2.17291,0.63121
4.0,2,0.7,fearful,A: may continue,4.150345,0.00063,0.0892,0.0219,3.00131,1.45961
4.0,2,0.7,overconfident and fearful,A: may continue,1.76671,0.03509,0.07501,0.05557,1.63378,0.09208
4.0,2,0.7,population (equal mix),A: may continue,3.43179625,0.0140375,0.0655375,0.0358425,2.5750075,1.0333074999999998
4.0,2,0.7,calibrated,B: may continue + protection,4.698345,0.00237,0.01795,0.02707,3.58411,2.04241
4.0,2,0.7,overconfident,B: may continue + protection,0.93015,0.04501,0.07254,0.06499,1.5417,0.0
4.0,2,0.7,anxious,B: may continue + protection,4.557105,0.00418,0.04014,0.02774,2.89059,1.34889
4.0,2,0.7,fearful,B: may continue + protection,4.68103,0.00145,0.02515,0.02584,3.58914,2.04744
4.0,2,0.7,overconfident and fearful,B: may continue + protection,1.331485,0.04031,0.07336,0.06055,1.58383,0.04213
4.0,2,0.7,population (equal mix),B: may continue + protection,3.7166575,0.013252499999999999,0.038945,0.03641,2.901385,1.3596849999999998
4.0,2,0.7,calibrated,C: required checks,4.64542,0.00184,0.01797,0.02654,3.79516,2.25346
4.0,2,0.7,overconfident,C: required checks,3.503775,0.01149,0.07849,0.03284,2.53165,0.98995
4.0,2,0.7,anxious,C: required checks,4.0893,0.00394,0.0836,0.02535,2.6518,1.1101
4.0,2,0.7,fearful,C: required checks,4.10574,0.0006,0.08922,0.02187,3.09572,1.55402
4.0,2,0.7,overconfident and fearful,C: required checks,3.622525,0.00985,0.08178,0.03104,2.52895,0.98725
4.0,2,0.7,population (equal mix),C: required checks,4.086058749999999,0.0044675,0.06731999999999999,0.02665,3.0185825,1.4768824999999999
4.0,2,0.7,calibrated,D: required checks + protection,4.64542,0.00184,0.01797,0.02654,3.79516,2.25346
4.0,2,0.7,overconfident,D: required checks + protection,3.503775,0.01149,0.07849,0.03284,2.53165,0.98995
4.0,2,0.7,anxious,D: required checks + protection,4.523135,0.00286,0.04028,0.02644,3.21213,1.67043
4.0,2,0.7,fearful,D: required checks + protection,4.62516,0.00124,0.02517,0.02563,3.74208,2.20038
4.0,2,0.7,overconfident and fearful,D: required checks + protection,3.5565,0.0108,0.07923,0.03215,2.5346,0.9929
4.0,2,0.7,population (equal mix),D: required checks + protection,4.3243725,0.0043575,0.0404775,0.027862500000000002,3.320255,1.778555
